label,datetime,ax,ay,az,gx,gy,gz
OTHER,2018/05/09 16:56:37:0423,-0.58258057,4.031143,8.443237,,,
OTHER,2018/05/09 16:56:37:0444,-0.58258057,4.5803223,7.9332886,,,
OTHER,2018/05/09 16:56:37:0461,-0.64141846,4.933365,8.247100999999999,,,
OTHER,2018/05/09 16:56:37:0481,-0.46490479999999995,4.8941345,8.462845,,,
OTHER,2018/05/09 16:56:37:0500,-0.30799866,4.305725,8.423614500000001,,,
OTHER,2018/05/09 16:56:37:0521,0.045043945,4.1292114,8.541306,,,
OTHER,2018/05/09 16:56:37:0543,-0.19030762,4.5803223,8.698212,,,
OTHER,2018/05/09 16:56:37:0562,-0.77871704,5.4432983,8.482467999999999,,,
OTHER,2018/05/09 16:56:37:0577,-0.91600037,5.5609894,8.443237,0.3909607,0.44432068,-0.82225037
OTHER,2018/05/09 16:56:37:0585,-0.8963928,5.364853,8.482467999999999,0.19578552,0.44432068,-0.93862915
OTHER,2018/05/09 16:56:37:0599,-0.19030762,3.7957916,9.953461,-0.22113037,0.31878662,-0.9746703999999999
OTHER,2018/05/09 16:56:37:0607,1.0453339,0.539978,11.463683999999999,-1.1487273999999998,0.295578,-0.06385803
OTHER,2018/05/09 16:56:37:0614,0.5549927,2.0698090000000002,11.777496000000001,-1.8179321,0.49868774,0.7491913
OTHER,2018/05/09 16:56:37:0624,-0.83755493,3.9723053,9.835785000000001,-1.9138488999999999,0.8716278000000001,0.90130615
OTHER,2018/05/09 16:56:37:0635,-1.4259491000000002,4.403793299999999,7.9332886,-1.5024261,0.83406067,0.96147156
OTHER,2018/05/09 16:56:37:0645,-1.8378296000000003,5.109878500000001,7.717544599999999,-0.84695435,0.6278838999999999,0.74583435
OTHER,2018/05/09 16:56:37:0657,-2.2300873,5.4825287000000005,7.952896000000001,-0.30847168,0.56741333,0.2110138
OTHER,2018/05/09 16:56:37:0667,-1.9947357,5.521758999999999,7.9332886,0.104156494,0.7030181999999999,-0.16862488
OTHER,2018/05/09 16:56:37:0675,-1.4063416000000002,5.6786650000000005,7.599869,0.36132813,0.8291626,-0.30026245
OTHER,2018/05/09 16:56:37:0685,-1.2298126,5.6982726999999995,7.3841095,0.55192566,0.61994934,-0.40197754
OTHER,2018/05/09 16:56:37:0696,-1.1513672,5.4432983,7.089919999999999,0.70280457,0.22349548,-0.5730133000000001
OTHER,2018/05/09 16:56:37:0705,-1.2886505,5.247177,6.9722443,0.75686646,-0.092315674,-0.6600647
OTHER,2018/05/09 16:56:37:0715,-1.1905975,4.9922028,7.207596000000001,0.81977844,-0.23007202,-0.7920227
OTHER,2018/05/09 16:56:37:0727,-1.0140685999999999,4.6195526,7.4821777,0.82650757,-0.50190735,-0.8460846
OTHER,2018/05/09 16:56:37:0744,-0.8963928,4.2272796999999995,7.952896000000001,0.79138184,-0.6628723000000001,-0.83081055
OTHER,2018/05/09 16:56:37:0753,-0.8571625,4.4430237,8.502075,0.7476959,-0.6259155,-0.89585876
OTHER,2018/05/09 16:56:37:0762,-0.8963928,4.756836,8.972794,0.7684784,-0.56329346,-1.0696564
OTHER,2018/05/09 16:56:37:0767,-0.93562317,5.0118103,9.149307,0.8371886999999999,-0.40019226,-1.2251282
OTHER,2018/05/09 16:56:37:0775,-0.91600037,5.188324,9.031630999999999,0.9303589,-0.09384155,-1.3210297
OTHER,2018/05/09 16:56:37:0785,-0.75909424,5.031418,8.698212,0.99357605,0.12696838,-1.3137054
OTHER,2018/05/09 16:56:37:0795,-0.7394866999999999,4.815674,8.404007,0.9978485,0.24060059,-1.2620850000000001
OTHER,2018/05/09 16:56:37:0806,-0.70025635,4.7176056,8.247100999999999,0.97036743,0.24945068,-1.0479736
OTHER,2018/05/09 16:56:37:0816,-0.7983246,4.8745117,8.933563000000001,0.8542938,0.19874573,-0.71595764
OTHER,2018/05/09 16:56:37:0826,-0.93562317,4.5018616,9.600418,0.673172,0.24365234,-0.30607605
OTHER,2018/05/09 16:56:37:0837,-1.1121368,4.7764587,9.992691,0.5467224,0.47149658,0.14228821
OTHER,2018/05/09 16:56:37:0847,-1.3278809,5.129486,9.757324,0.43585205,0.9278259,0.4306183
OTHER,2018/05/09 16:56:37:0857,-1.7397613999999997,5.364853,9.325836,0.30879209999999996,1.3484038999999999,0.61938477
OTHER,2018/05/09 16:56:37:0868,-2.24971,5.521758999999999,8.75705,0.15913391,1.5087585,0.6850586
OTHER,2018/05/09 16:56:37:0878,-2.6811981,5.737503,8.286331,0.07788086,1.5108948,0.64993286
OTHER,2018/05/09 16:56:37:0888,-2.8381042,5.953247,7.894058,-0.07940674,1.4626465,0.47766113
OTHER,2018/05/09 16:56:37:0899,-2.9165650000000003,5.953247,7.678314,-0.20372010000000002,1.2476196000000002,0.29135132
OTHER,2018/05/09 16:56:37:0909,-2.9165650000000003,5.796341,7.697937,-0.25379944,0.95225525,0.14749146
OTHER,2018/05/09 16:56:37:0919,-2.6615906000000003,5.462921,8.2078705,-0.22050476,0.6489563,0.054031372
OTHER,2018/05/09 16:56:37:0929,-2.58313,5.1687164,8.580521000000001,-0.19180298,0.45256042,0.105026245
OTHER,2018/05/09 16:56:37:0939,-2.6027527000000004,5.0902709999999995,8.482467999999999,-0.0677948,0.5115204000000001,0.2110138
OTHER,2018/05/09 16:56:37:0949,-2.58313,5.070648,8.776657,0.008544922,0.5860443000000001,0.29379272
OTHER,2018/05/09 16:56:37:0959,-2.6615906000000003,5.0902709999999995,8.75705,-0.00793457,0.6278838999999999,0.33685303
OTHER,2018/05/09 16:56:37:0969,-2.857727,5.207947,8.600143,-0.06138611,0.6868286,0.3677063
OTHER,2018/05/09 16:56:37:0979,-3.0538483,5.2667847000000005,8.443237,-0.14811707,0.7622833000000001,0.30845642
OTHER,2018/05/09 16:56:37:0989,-3.0146332,5.34523,8.188263000000001,-0.20951843,0.75341797,0.25286865
OTHER,2018/05/09 16:56:38:0005,-3.0146332,5.364853,7.952896000000001,-0.19546509,0.69844055,0.23086548
OTHER,2018/05/09 16:56:38:0015,-2.95578,5.384460400000001,7.815613000000001,-0.1426239,0.58818054,0.23576355
OTHER,2018/05/09 16:56:38:0023,-2.8773346,5.4040833,7.6587067,-0.10231018,0.47027588,0.25500488
OTHER,2018/05/09 16:56:38:0028,-2.857727,5.462921,7.521408,-0.07206726,0.37376404,0.24400329999999998
OTHER,2018/05/09 16:56:38:0037,-2.8969421000000004,5.6198273,7.4625699999999995,-0.061691284000000006,0.30168152,0.19085693
OTHER,2018/05/09 16:56:38:0047,-2.8773346,5.6198273,7.442962599999999,-0.037246704,0.2320404,0.14779663
OTHER,2018/05/09 16:56:38:0057,-2.8184967,5.5021515,7.4821777,-0.032669067,0.20362854,0.07846069
OTHER,2018/05/09 16:56:38:0088,-2.7792664,5.384460400000001,7.5606384,-0.03907776,0.1648407,0.05218506
OTHER,2018/05/09 16:56:38:0093,-2.7204285,5.247177,7.6587067,-0.03694153,0.13644409,0.054031372
OTHER,2018/05/09 16:56:38:0120,-2.740036,5.149108999999999,7.9136809999999995,-0.048858643,0.11872864,0.066848755
OTHER,2018/05/09 16:56:38:0125,-2.798874,5.149108999999999,8.188263000000001,-0.056488037000000005,0.14834595,0.082733154
OTHER,2018/05/09 16:56:38:0160,-2.8381042,5.0902709999999995,8.345169,-0.053131104000000005,0.24731445,0.10166931
OTHER,2018/05/09 16:56:38:0164,-2.798874,5.129486,8.286331,-0.05923462,0.3474884,0.10441589
OTHER,2018/05/09 16:56:38:0169,-2.8773346,5.207947,8.011749,-0.06657410000000001,0.44950867,0.102890015
OTHER,2018/05/09 16:56:38:0176,-3.0538483,5.325622599999999,7.79599,-0.06199646,0.47027588,0.08609009
OTHER,2018/05/09 16:56:38:0182,-3.0538483,5.325622599999999,7.717544599999999,-0.04244995,0.45408630000000005,0.046081542999999996
OTHER,2018/05/09 16:56:38:0185,-2.9754028,5.207947,7.776382400000001,-0.02319336,0.35910034,0.038146973
OTHER,2018/05/09 16:56:38:0189,-2.8773346,5.1687164,7.8744507,-0.01586914,0.27664185,0.07266235
OTHER,2018/05/09 16:56:38:0192,-2.8969421000000004,5.109878500000001,7.9921265,-0.0073242188,0.22776794,0.10961914
OTHER,2018/05/09 16:56:38:0195,-2.9754028,5.0902709999999995,7.972519,-0.010375977,0.20639038,0.14045715
OTHER,2018/05/09 16:56:38:0209,-2.9361725,5.149108999999999,8.109802,-0.006713866999999999,0.1978302,0.13893127
OTHER,2018/05/09 16:56:38:0212,-2.9165650000000003,5.207947,8.188263000000001,-0.008239746,0.1966095,0.13069153
OTHER,2018/05/09 16:56:38:0217,-2.8969421000000004,5.2275542999999995,8.109802,-0.021057128999999997,0.22042847,0.12152099599999999
OTHER,2018/05/09 16:56:38:0227,-2.9754028,5.306015,7.9136809999999995,-0.0146484375,0.30870056,0.11358642599999999
OTHER,2018/05/09 16:56:38:0238,-3.1126862,5.34523,7.756775,-0.0030517578000000003,0.36582947,0.09831238
OTHER,2018/05/09 16:56:38:0247,-3.1323090000000002,5.34523,7.619476299999999,0.010070800999999999,0.3743744,0.087005615
OTHER,2018/05/09 16:56:38:0258,-3.1911468999999997,5.4040833,7.501800500000001,0.024124146000000003,0.33528137,0.0650177
